Country Name,Country Code,Series Name,Series Code,Time,Time Code,Value
Bhutan,BTN,"Population, total",SP.POP.TOTL,2014,YR2014,765008
Bolivia,BOL,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,3124.085434
Bolivia,BOL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,68.344
Bolivia,BOL,"Population, total",SP.POP.TOTL,2014,YR2014,10561887
Bosnia and Herzegovina,BIH,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,4852.318649
Bosnia and Herzegovina,BIH,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,76.4332439
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,2014,YR2014,3817554
Botswana,BWA,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,7153.447859
Botswana,BWA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,64.4292439
Botswana,BWA,"Population, total",SP.POP.TOTL,2014,YR2014,2219937
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,11728.79939
Brazil,BRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,74.40187805
Brazil,BRA,"Population, total",SP.POP.TOTL,2014,YR2014,206077898
British Virgin Islands,VGB,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,NA
British Virgin Islands,VGB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,NA
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,2014,YR2014,29585
Brunei Darussalam,BRN,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,41023.88988
Brunei Darussalam,BRN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,78.80958537
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,2014,YR2014,417394
Bulgaria,BGR,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,7853.335191
Bulgaria,BGR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,75.40731707
Bulgaria,BGR,"Population, total",SP.POP.TOTL,2014,YR2014,7223938
Burkina Faso,BFA,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,696.8562068
Burkina Faso,BFA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,58.58846341
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,2014,YR2014,17589198
Burundi,BDI,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,286.0023359
Burundi,BDI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,56.69202439
Burundi,BDI,"Population, total",SP.POP.TOTL,2014,YR2014,10816860
Cabo Verde,CPV,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,3661.168758
Cabo Verde,CPV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,73.147
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,2014,YR2014,513906
Cambodia,KHM,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,1094.576688
Cambodia,KHM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,68.21229268
Cambodia,KHM,"Population, total",SP.POP.TOTL,2014,YR2014,15328136
Cameroon,CMR,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,1407.403413
Cameroon,CMR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,55.4927561
Cameroon,CMR,"Population, total",SP.POP.TOTL,2014,YR2014,22773014
Canada,CAN,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,50185.4815
Canada,CAN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,81.95660976
Canada,CAN,"Population, total",SP.POP.TOTL,2014,YR2014,35543658
Cayman Islands,CYM,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,NA
Cayman Islands,CYM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,NA
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,2014,YR2014,59172
Central African Republic,CAF,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,354.4519011
Central African Republic,CAF,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,50.65778049
Central African Republic,CAF,"Population, total",SP.POP.TOTL,2014,YR2014,4804316
Chad,TCD,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,1024.668354
Chad,TCD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,51.55580488
Chad,TCD,"Population, total",SP.POP.TOTL,2014,YR2014,13587053
Channel Islands,CHI,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,NA
Channel Islands,CHI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,80.6064878
Channel Islands,CHI,"Population, total",SP.POP.TOTL,2014,YR2014,162917
Chile,CHL,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,14566.14905
Chile,CHL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,81.49619512
Chile,CHL,"Population, total",SP.POP.TOTL,2014,YR2014,17762647
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,7683.502038
China,CHN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,75.78226829
China,CHN,"Population, total",SP.POP.TOTL,2014,YR2014,1364270000
Colombia,COL,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,7918.0789
Colombia,COL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,73.99314634
Colombia,COL,"Population, total",SP.POP.TOTL,2014,YR2014,47791393
Comoros,COM,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,841.2055558
Comoros,COM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,63.25685366
Comoros,COM,"Population, total",SP.POP.TOTL,2014,YR2014,769991
"Congo, Dem. Rep.",ZAR,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,437.8149312
"Congo, Dem. Rep.",ZAR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,58.65919512
"Congo, Dem. Rep.",ZAR,"Population, total",SP.POP.TOTL,2014,YR2014,74877030
"Congo, Rep.",COG,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,3147.071524
"Congo, Rep.",COG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,62.31114634
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,2014,YR2014,4504962
Costa Rica,CRI,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,10544.72003
Costa Rica,CRI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,79.40270732
Costa Rica,CRI,"Population, total",SP.POP.TOTL,2014,YR2014,4757606
Cote d'Ivoire,CIV,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,1544.321337
Cote d'Ivoire,CIV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,51.55958537
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,2014,YR2014,22157107
Croatia,HRV,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,13480.65075
Croatia,HRV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,77.32926829
Croatia,HRV,"Population, total",SP.POP.TOTL,2014,YR2014,4238389
Cuba,CUB,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,NA
Cuba,CUB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,79.39082927
Cuba,CUB,"Population, total",SP.POP.TOTL,2014,YR2014,11379111
Curacao,CUW,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,NA
Curacao,CUW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,77.82439024
Curacao,CUW,"Population, total",SP.POP.TOTL,2014,YR2014,155909
Cyprus,CYP,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,27340.88382
Cyprus,CYP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,80.13156098
Cyprus,CYP,"Population, total",SP.POP.TOTL,2014,YR2014,1153658
Czech Republic,CZE,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,19744.55861
Czech Republic,CZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,78.27560976
Czech Republic,CZE,"Population, total",SP.POP.TOTL,2014,YR2014,10525347
Denmark,DNK,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,61330.91263
Denmark,DNK,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,80.54878049
Denmark,DNK,"Population, total",SP.POP.TOTL,2014,YR2014,5643475
